STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),Ghi chú
11,強い,つよい,mạnh/ mạnh mẽ,当初の期待をはるかに上回る成果が得られ、市全体でこれらのモデルを拡大し、完成させていくための強いモチベーションとなりました。,"Những kết quả thu được vượt xa kỳ vọng ban đầu, tạo động lực mạnh mẽ để chúng tôi tiếp tục mở rộng và hoàn thiện các mô hình này trên toàn thành phố",https://www.vietnam.vn/ja/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam,https://baochinhphu.vn/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam-102250923190137343.htm,
12,乏しい,とぼしい,hạn chế,首相によると、制度や法律は依然としてボトルネックとなっている。多くの不要なビジネス条件が撤廃されておらず、行政手続きは依然として煩雑で透明性に欠けている。2023年のベトナムのビジネス環境指数は190カ国中70位にとどまり、シンガポール、タイ、マレーシアといった地域諸国に大きく後れを取っている。根深い原因の一つは、民間経済の発展に対する認識が乏しいことであり、一部の幹部や公務員の間では「求めれば与える」という意識が依然として根強く残っている。嫌がらせ、既得権益への支持、汚職、そして浪費は、完全には克服されていない。,"Theo Thủ tướng, thể chế, pháp luật vẫn là điểm nghẽn của điểm nghẽn. Nhiều điều kiện kinh doanh không cần thiết chưa được bãi bỏ; thủ tục hành chính còn rườm rà, minh bạch kém; chỉ số môi trường kinh doanh của Việt Nam năm 2023 chỉ xếp hạng 70/190 quốc gia, thua xa các nước trong khu vực, như: Singapore, Thái Lan, Malaysia. Một nguyên nhân sâu xa là nhận thức về KTTN còn hạn chế; tư duy ""xin - cho"" vẫn tồn tại trong một bộ phận cán bộ, công chức. Tình trạng nhũng nhiễu, tiếp tay cho lợi ích nhóm, tham nhũng, lãng phí chưa được khắc phục triệt để.",https://www.vietnam.vn/ja/kinh-te-tu-nhan-tru-cot-chien-luoc-quoc-gia-trong-thoi-ky-moi,https://hanoimoi.vn/kinh-te-tu-nhan-tru-cot-chien-luoc-quoc-gia-trong-thoi-ky-moi-702650.html,
13,根強い,ねづよい,dai dẳng,ベトナムの成長の主力である輸出志向型産業は回復を見せています。 世界の主要経済国におけるインフレ圧力は依然として根強く、金利も依然として高いため、世界経済の需要は劇的に変化していません。,"Chúng ta thấy công nghiệp gắn với xuất khẩu, cỗ máy tăng trưởng chính của Việt Nam, đã phục hồi. Áp lực lạm phát của các nền kinh tế lớn trên thế giới vẫn đang dai dẳng, lãi suất vẫn đang ở mức cao nên sức cầu của nền kinh tế thế giới không có đột biến. ",https://www.vietnam.vn/ja/giu-nhip-tang-truong-kinh-te-ca-nam,https://tuoitre.vn/giu-nhip-tang-truong-kinh-te-ca-nam-20240701075857176.htm,
14,望ましい,のぞましい,đáng mong ước,2024年の力強い回復が今年のベトナム経済成長の確固たる基盤を築くだろうと評価した。ベトナム国会は2025年のGDP成長率目標を6.5～7%に設定し、政府は多くの国にとって望ましい数値である8%超を目標に設定した。,"sự phục hồi mạnh mẽ trong năm 2024 sẽ tạo cơ sở vững chắc cho sự tăng trưởng của Việt Nam trong năm nay. Năm 2025, Quốc hội Việt Nam đặt mục tiêu GDP tăng 6,5%-7%, trong khi Chính phủ xác định mục tiêu vượt 8%, một con số đáng mong ước đối với nhiều quốc gia khác.",https://www.vietnam.vn/ja/kinh-te-viet-nam-tiep-tuc-la-diem-sang-cua-chau-a-thai-binh-duong,https://www.vietnamplus.vn/bao-sec-kinh-te-viet-nam-tiep-tuc-la-diem-sang-cua-chau-a-thai-binh-duong-post1027047.vnp,
15,激しい,はげしい,"khốc liệt, dữ dội",より多くの外国の「プレーヤー」を迎え入れることで競争はより激しくなることが予想されるものの、専門家によると、国際的なブローカーの直接参加を認めることで透明性が高まり、パートナーのリスクが軽減され、同時に機関投資家の目から見たベトナム市場の信頼性も高まるだろう。,"dù cuộc chiến dự kiến sẽ thêm khốc liệt khi đón thêm “tay chơi” ngoại, song theo các chuyên gia việc cho phép môi giới quốc tế trực tiếp tham gia sẽ tăng tính minh bạch, giảm rủi ro đối tác, đồng thời nâng cao độ tin cậy của thị trường Việt Nam trong mắt nhà đầu tư tổ chức.",https://www.vietnam.vn/ja/tu-yeu-cau-cua-ftse-cuoc-chien-thi-phan-moi-gioi-se-nong-bong,https://dantri.com.vn/kinh-doanh/tu-yeu-cau-cua-ftse-cuoc-chien-thi-phan-moi-gioi-se-nong-bong-20251012150308359.htm,
16,幅広い,はばひろい,trải rộng,VietGAP/GlobalGAP基準を満たすWinEcoの野菜や、欧州基準を満たすMEATDeliの肉など、高品質な製品を提供することで、WCMは都市部から農村部まで、幅広い消費者のニーズに応えています。,"Các sản phẩm chất lượng như rau WinEco đạt chuẩn VietGAP/GlobalGAP hay thịt MEATDeli chuẩn châu Âu đã giúp WCM đáp ứng tốt nhu cầu người tiêu dùng, (trải rộng) từ thành thị đến vùng quê.",https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,
17,低い,ひくい,"thấp, ít",デジタルライフ・マルチメディア株式会社のTikTokショップパートナー＆クリエイターネットワーク責任者であるトゥアン・ドゥン氏は、ライブストリーミングは短期間で収益を生み出す可能性があるものの、非常に一時的なものであり、コンテンツの管理が難しく、長期的な価値は低いと述べています,"Ông Tuấn Dũng, Trưởng nhóm TikTok Shop Partner & Creator Network, Công ty Cổ phần Truyền thông đa phương tiện Cuộc Sống số cho rằng, livestream có thể tạo doanh thu nhanh, nhưng tính nhất thời cao, khó kiểm soát nội dung và ít để lại giá trị lâu dài. ",https://www.vietnam.vn/ja/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu,https://vtv.vn/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu-100250925181753744.htm,
18,広い,ひろい,rộng,協会の中核的役割を推進する中で、近年、ムオンラ村の会員や女性の間で経済発展の模範となる運動が力強く、広く展開しています。女性たちが貧困から持続的に脱却し、合法的に富を築くための効果的な経済モデルが数多く生まれ、故郷の様相を変えることに貢献しています。,"Phát huy vai trò nòng cốt của tổ chức Hội, những năm qua, phong trào thi đua phát triển kinh tế trong hội viên, phụ nữ xã Mường La đã lan tỏa mạnh mẽ, sâu rộng. Nhiều mô hình kinh tế hiệu quả ra đời đã giúp chị em thoát nghèo bền vững, vươn lên làm giàu chính đáng, góp phần thay đổi diện mạo quê hương. ",https://www.vietnam.vn/ja/diem-tua-vung-chac-cho-hoi-vien-phat-trien-kinh-te,https://baosonla.vn/kinh-te/diem-tua-vung-chac-cho-hoi-vien-phat-trien-kinh-te-l7OaD0eNg.html,
19,相応しい,ふさわしい,"phù hợp, tương xứng",商工省次官は、2025年10月と11月にベトナム交渉代表団が引き続き米国を訪問し、今後の協議・実施に向けた取り組みを進める予定であると述べた。これにより、開放性、建設性、平等性、独立性・自治権の尊重、政治制度の尊重、互恵性、相互発展水準への配慮といった原則に基づく互恵貿易協定の締結を目指す。双方は、ベトナム・米国包括的戦略的パートナーシップに相応しい、安定した経済・貿易・投資関係の促進、利益の調和に努める。,"Thứ trưởng Bộ Công Thương cho biết, dự kiến trong tháng 10 và tháng 11/2025, Đoàn đàm phán của Việt Nam tiếp tục có chuyến công tác sang Hoa Kỳ để thảo luận và triển khai các công việc tiếp theo, hướng đến hoàn thành thỏa thuận về thương mại đối ứng trên nguyên tắc cởi mở, xây dựng, bình đẳng, tôn trọng độc lập, tự chủ, thể chế chính trị, cùng có lợi và cân nhắc tới trình độ phát triển của nhau. Hai bên sẽ nỗ lực thúc đẩy quan hệ kinh tế, thương mại và đầu tư ổn định, hài hòa lợi ích, tương xứng với mối quan hệ Đối tác chiến lược toàn diện Việt Nam - Hoa Kỳ.",https://www.vietnam.vn/ja/bo-cong-thuong-thong-tin-them-ve-qua-trinh-dam-phan-thue-doi-ung-voi-hoa-ky,https://baochinhphu.vn/bo-cong-thuong-thong-tin-them-ve-qua-trinh-dam-phan-thue-doi-ung-voi-hoa-ky-10225100818201242.htm,
20,古い,ふるい,cũ,8月末には、別の会社も国家予算に押収された資産のオークションを発表しており、その中にはバクニン省民事判決執行庁から押収された中古携帯電話、電子機器、古いオフィス機器（携帯電話406台と電子機器34台：コンピューター、プリンター、Bluetoothスピーカーなど）が含まれていました。,"Trước đó, cuối tháng 8, một công ty khác cũng thông báo đấu giá lô tài sản bị tịch thu sung quỹ Nhà nước là điện thoại, thiết bị điện tử, máy văn phòng cũ đã qua sử dụng (gồm 406 điện thoại và 34 thiết bị điện tử: Máy vi tính, máy in, loa bluetooth…) của cơ quan Thi hành án dân sự tỉnh Bắc Ninh. ",https://www.vietnam.vn/ja/dau-gia-500-iphone-voi-gia-tu-2-5-trieu-dong-chiec-ket-qua-bat-ngo,https://dantri.com.vn/kinh-doanh/dau-gia-500-iphone-voi-gia-tu-25-trieu-dongchiec-ket-qua-bat-ngo-20250924174149089.htm,
21,難しい,むずかしい,khó,コンテンツが保存されていれば、消費者は簡単に再検索でき、管理機関も監視しやすくなる。これは、「瞬間的に存在する」ため検証が難しいライブストリーミングとの重要な違いである。,"Khi nội dung được lưu giữ, người tiêu dùng dễ dàng tra cứu lại, cơ quan quản lý cũng thuận lợi trong việc giám sát. Đây là điểm khác biệt quan trọng so với livestream – vốn “tồn tại trong khoảnh khắc” và khó kiểm chứng.",https://www3.nhk.or.jp/news/html/20250818/k10014896441000.htmlhttps://www.vietnam.vn/ja/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu,https://vtv.vn/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu-100250925181753744.htm,
22,安い,やすい,rẻ,これは、現在市場に出回っている中古のiPhone 13（ストレージ容量によって約700万～1100万ドン）よりもはるかに安い価格です," Hơn 70 chiếc trong số này là iPhone 12, 12 Pro và gần 400 chiếc iPhone 13 có giá 4 triệu đồng/chiếc - (giá) thấp hơn nhiều so với điện thoại iPhone 13 đã qua sử dụng trên thị trường hiện nay (khoảng 7-11 triệu đồng, tùy bộ nhớ lưu trữ)",https://www.vietnam.vn/ja/dau-gia-500-iphone-voi-gia-tu-2-5-trieu-dong-chiec-ket-qua-bat-ngo,https://dantri.com.vn/kinh-doanh/dau-gia-500-iphone-voi-gia-tu-25-trieu-dongchiec-ket-qua-bat-ngo-20250924174149089.htm,
23,弱い,よわい,yếu,国際通貨基金（IMF）は、米国や一部の高税率国の企業が関税によるコストの大半を負担している一方で、中国など主要輸出国では需要が依然として弱いことから、世界のインフレ状況はまちまちだと述べた。,"Quỹ Tiền tệ Quốc tế (IMF) nhận định bức tranh lạm phát toàn cầu đang có nhiều chiều trái ngược khi các doanh nghiệp tại Mỹ và một số nước áp thuế cao đã gánh chịu phần lớn chi phí từ thuế quan, trong khi nhu cầu vẫn yếu ở các nền kinh tế xuất khẩu lớn như Trung Quốc.",https://www.vietnam.vn/ja/imf-lam-phat-toan-cau-khong-dong-deu-giua-cuoc-chien-thue-quan,https://vtv.vn/imf-lam-phat-toan-cau-khong-dong-deu-giua-cuoc-chien-thue-quan-10025100314320848.htm,
24,若い,わかい,trẻ,ベトナムにおける新規雇用の約80%は、ここ数年で設立された若く活力のある企業によって創出されています。これは民間セクターの力強い活力を示す、前向きな兆候です,"Khoảng 80% việc làm mới ở Việt Nam được tạo ra từ các doanh nghiệp trẻ (mới thành lập ít năm) năng động. Đây là tín hiệu tích cực, cho thấy sức sống mạnh mẽ của khu vực tư nhân.",https://www.vietnam.vn/ja/wb-viet-nam-dan-dau-tang-truong-khu-vuc-dong-a-thai-binh-duong-nam-2025,https://baochinhphu.vn/wb-viet-nam-dan-dau-tang-truong-khu-vuc-dong-a-thai-binh-duong-nam-2025-102251007152558927.htm,
25,深い,ふかい,Sâu sắc,レオ・チェン氏は、実際に実施されたプロジェクトから、業界の知的変革を促進する5つの重要な要素を導き出します。まず、適切なアプリケーション シナリオを選択することが重要な成功要因です。AI は、コア プロダクション シナリオに深く統合された場合にのみ価値を生み出すためです。,"Từ các dự án đã triển khai thực tế, ông Leo Chen rút ra năm yếu tố then chốt thúc đẩy chuyển đổi trí tuệ hóa ngành công nghiệp. Thứ nhất, việc lựa chọn đúng kịch bản ứng dụng là yếu tố quyết định thành công, bởi AI chỉ tạo ra giá trị khi được tích hợp sâu vào các kịch bản sản xuất cốt lõi.",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401159,
26,著しい,いちじるしい,"đáng kể, rõ rệt",ベトナムの成長構造は質的に著しく改善しました。資本と安価な労働力への依存から脱却し、全要素生産性（TFP）は45～50%の貢献を果たしました。これは、制度改革、インフラ投資、そして産業とサービス業への経済再編の有効性を反映しています。,"Cơ cấu tăng trưởng Việt Nam đã cải thiện rõ rệt về chất. Từ chỗ phụ thuộc vốn và lao động giá rẻ, nay năng suất nhân tố tổng hợp (TFP) đóng góp 45-50%, phản ánh hiệu quả cải cách thể chế, đầu tư hạ tầng và dịch chuyển cơ cấu kinh tế sang công nghiệp và dịch vụ.",https://www.vietnam.vn/ja/tam-thap-nien-kinh-te-viet-nam-tu-doi-ngheo-chien-tranh-den-khat-vong-phep-mau-dong-a-moi,https://tuoitre.vn/tam-thap-ky-kinh-te-viet-nam-tu-doi-ngheo-chien-tranh-den-khat-vong-phep-mau-dong-a-moi-20250831161954324.htm,
27,詳しい,くわしい,"cách chi tiết, cụ thể",ダナン市統計局によると、ダナンの経済成長は、3つの経済セクター全てにおける均衡した目覚ましい回復によって大きく後押しされた。 経済セクターを詳しく見ると、工業および建設セクターの付加価値（VA）が6ヶ月間で13.19%増加し、経済全体の付加価値増加に3.89パーセントポイント寄与し、牽引役を果たした。 ,"Theo Chi cục Thống kê thành phố Đà Nẵng, tăng trưởng kinh tế của Đà Nẵng được thúc đẩy mạnh mẽ bởi sự phục hồi đồng đều và ấn tượng ở cả 3 khu vực kinh tế. Đi sâu vào các khu vực kinh tế, giá trị tăng thêm (VA) khu vực công nghiệp và xây dựng đóng vai trò đầu tàu với mức tăng 6 tháng đạt 13,19% (đóng góp 3,89 điểm % vào mức tăng tổng VA chung toàn nền kinh tế).",https://www.vietnam.vn/ja/kinh-te-6-thang-dau-nam-2025-buoc-dem-cho-da-nang-moi-but-toc,https://baodanang.vn/kinh-te-6-thang-dau-nam-2025-buoc-dem-cho-da-nang-moi-but-toc-3265197.html,
28,輝かしい,かがやかしい,(tấm gương) sáng,近年、タインホア市の高齢者は「老年よ、輝かしき模範あれ」の精神を掲げ、地域運動や活動において模範的な先駆者となるだけでなく、ベトナム高齢者協会中央委員会が立ち上げた「高齢者よ、輝かしき事業を」という模範運動にも積極的に参加しています。この運動を通じて、多くの優れた生産モデル構築の模範例が生まれ、子や孫たちの輝かしい手本となっています。," Những năm qua, phát huy tinh thần “Tuổi cao, gương sáng”, hội viên người cao tuổi (NCT) TP Thanh Hóa không chỉ gương mẫu, đi đầu thực hiện các phong trào, hoạt động của địa phương mà còn tích cực tham gia phong trào thi đua “NCT làm kinh tế giỏi” do Trung ương Hội NCT Việt Nam phát động. Qua phong trào đã xuất hiện nhiều tấm gương điển hình xây dựng các mô hình sản xuất mang lại hiệu quả cao, là gương sáng cho con cháu noi theo.",https://www.vietnam.vn/ja/nguoi-cao-tuoi-neu-guong-sang-phat-trien-kinh-te,https://baothanhhoa.vn/nguoi-cao-tuoi-neu-guong-sang-nbsp-phat-trien-kinh-te-247726.htm,
29,近い,ちかい,Gần,近い将来、我が国の経済規模は現在の約5000億ドルではなく、間違いなく数千億ドルに達するだろう。今年中には約4700億ドルに達し、近い将来には間違いなく3～4倍に拡大するだろう。,"Chắc chắn quy mô kinh tế chúng ta sẽ đạt vài ngàn tỉ đô la trong thời gian không xa, chứ không nằm quy mô gần 500 tỉ đô la như hiện nay. Đến năm nay đạt khoảng 470 tỉ đô la, chắn chắn sẽ tăng gấp 3-4 lần trong thời gian không xa",https://www.vietnam.vn/ja/pho-thu-tuong-ho-duc-phoc-quy-mo-kinh-te-chung-ta-se-dat-vai-ngan-ti-do-trong-thoi-gian-gan,https://tuoitre.vn/pho-thu-tuong-ho-duc-phoc-quy-mo-kinh-te-chung-ta-se-dat-vai-ngan-ti-do-trong-thoi-gian-gan-20241111151241926.htm,
30,早い,はやい,"sớm, nhanh",Automatic Profit 製品を先駆的に発売したことで、Techcombank は、市場をいち早くリードし、時間をかけて調査し、完全な製品機能、制限のない最適な収益、安全性、柔軟性を確保するという利点を獲得できました。,"Việc tiên phong ra mắt sản phẩm Sinh Lời Tự Động đã giúp Techcombank sở hữu lợi thế dẫn dắt thị trường sớm, có thời gian nghiên cứu, bảo đảm tính năng sản phẩm hoàn thiện, lợi suất tối ưu không ngăn không ngưỡng, an toàn, linh hoạt.",https://www.vietnam.vn/ja/cach-techcombank-tao-dau-an-khac-biet-voi-sinh-loi-tu-dong,https://vietnamnet.vn/cach-techcombank-tao-dau-an-khac-biet-voi-sinh-loi-tu-dong-2450148.html,
31,嬉しい,うれしい,"vui mừng, hạnh phúc",首相は、今回のイベントで発展への決意が示されたことを特に嬉しく思い、ViPEL メカニズムが成功すると信じており、ビジネス界と起業家が「3 人の先駆者」を実行することを期待しています。,"Đặc biệt cảm nhận sự vui mừng khi thấy khí thế quyết tâm phát triển tại sự kiện này, Thủ tướng tin tưởng cơ chế ViPEL sẽ thành công; mong muốn cộng đồng doanh nghiệp, doanh nhân thực hiện ""ba tiên phong"".",https://www.vietnam.vn/ja/thu-tuong-dat-hang-doanh-nhan-viet-ba-cung-ba-tien-phong-hai-lon-manh,https://tuoitre.vn/thu-tuong-dat-hang-doanh-nhan-viet-ba-cung-ba-tien-phong-hai-lon-manh-2025101020442227.htm,
32,つらい,つらい,khó khăn,心身ともにおつらい時期かと存じますが、くれぐれもご無理なさいませんように。,"Tôi hiểu đây chắc hẳn là giai đoạn khó khăn cả về thể chất lẫn tinh thần, mong anh/chị đừng quá gắng sức.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.159,,
33,わかりやすい,わかりやすい,dễ hiểu,金融と通貨に関する概念、知識、情報を、分かりやすく、親しみやすく、年齢に応じた方法で説明します。例えば、インフレとデフレの違いは何ですか？為替レートと金利はどのように関連していますか？海外に持ち込める外貨現金はいくらですか？古い紙幣はどこで両替できますか？債券、株式、貯蓄預金の違い、電子環境における銀行取引に関するアドバイス、リスクを回避するための個人情報と銀行口座の保護方法などです。,"Các khái niệm, kiến thức, thông tin về tài chính, tiền tệ sẽ được giải thích một cách dễ hiểu, gần gũi, phù hợp lứa tuổi, chẳng hạn: Lạm phát, giảm phát khác nhau thế nào? tỷ giá và lãi suất liên quan gì đến nhau? đi nước ngoài được mang bao nhiêu ngoại tệ tiền mặt? tiền cũ nát đổi ở đâu? phân biệt trái phiếu, cổ phiếu và tiền gửi tiết kiệm; lời khuyên trong các giao dịch ngân hàng trên môi trường điện tử; bảo mật thông tin cá nhân, tài khoản ngân hàng thế nào để tránh rủi ro...",https://www.vietnam.vn/ja/kheo-khon-voi-tien-tranh-nhung-uu-phien-giao-duc-tai-chinh-thiet-thuc-cho-hoc-sinh,https://www.sggp.org.vn/kheo-khon-voi-tien-tranh-nhung-uu-phien-giao-duc-tai-chinh-thiet-thuc-cho-hoc-sinh-post724495.html,
