STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),
16,底堅い,そこがたい,vững chắc,国内経済も底堅いとして投資家の安心感につながった。,Đánh giá kinh tế trong nước vẫn vững chắc đã giúp củng cố niềm tin của nhà đầu tư.,https://www3.nhk.or.jp/news/html/20250818/k10014896421000.html,,
17,高い,たかい,cao,化粧品業界は消費者からの高い信頼を必要とします。,Lĩnh vực mỹ phẩm đòi hỏi sự tin tưởng cao từ người tiêu dùng.,https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,
18,正しい,ただしい,"đúng, chính xác",The Highのおかげで肌が改善したというお客様からの声や、私のストーリーに共感していただいた時、私は自分が正しい道を歩んでいると実感します」と、CEOのチュオン・ヒエン氏は付け加えました。,"Khi khách hàng chia sẻ rằng làn da của họ đã cải thiện nhờ The High hay chỉ đơn giản là họ cảm thấy được truyền cảm hứng bởi câu chuyện của tôi, đó là lúc tôi nhận ra mình đã đi đúng hướng"", CEO Trương Hiền bày tỏ thêm.",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,
19,強い,つよい,mạnh/ mạnh mẽ,当初の期待をはるかに上回る成果が得られ、市全体でこれらのモデルを拡大し、完成させていくための強いモチベーションとなりました。,"Những kết quả thu được vượt xa kỳ vọng ban đầu, tạo động lực mạnh mẽ để chúng tôi tiếp tục mở rộng và hoàn thiện các mô hình này trên toàn thành phố",https://www.vietnam.vn/ja/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam,https://baochinhphu.vn/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam-102250923190137343.htm,
20,乏しい,とぼしい,"nghèo nàn, hạn chế",アフリカの開発を支援するとともに、存在感が乏しい日本企業の輸出や投資を後押しすることにしています。,"Cùng với việc hỗ trợ sự phát triển của châu Phi, (Nhật Bản cũng) đẩy mạnh xuất khẩu và đầu tư của các doanh nghiệp Nhật, vốn có sự hiện diện hạn chế ở đây",https://www3.nhk.or.jp/news/html/20250818/k10014896421000.html,,
21,根強い,ねづよい,"Bền vững, vững chắc, bám rễ",このうち、大手スーパーのイオンはいまも消費者の備蓄米に対する需要が根強いことから販売を継続する判断をしたということです。,"Trong số đó, chuỗi siêu thị lớn Aeon đã quyết định tiếp tục bán gạo dự trữ do nhu cầu của người tiêu dùng rất bền vững.",https://www3.nhk.or.jp/news/html/20250901/k10014909571000.html,,
22,望ましい,のぞましい,"được khuyến nghị, được kỳ vọng",厚生労働省によれば、はしかの最も有効な予防法はワクチンの接種で、ほとんどの人に免疫がつくといわれる、2回の接種がのぞましいとされています。,"Theo Bộ Y tế, Lao động và Phúc lợi Nhật Bản, biện pháp phòng bệnh sởi hiệu quả nhất là tiêm vắc-xin, và được khuyến nghị tiêm hai mũi vì hầu hết mọi người sẽ hình thành miễn dịch sau khi tiêm.",https://www3.nhk.or.jp/news/html/20240326/k10014401591000.html,,
23,激しい,はげしい,"mãnh liệt, dữ dội",西日本などでは台風が接近する前から局地的に非常に激しい雨が降るおそれがあり、土砂災害や低い土地の浸水などに十分注意が必要です。,"Ở khu vực Tây Nhật Bản, trước khi bão đến, có khả năng mưa to dữ dội cục bộ sẽ xảy ra, vì vậy cần phải hết sức cẩn thận với nguy cơ lở đất và ngập lụt ở những vùng thấp.",https://www3.nhk.or.jp/news/html/20250903/k10014911161000.html,,
24,幅広い,はばひろい,trải rộng,VietGAP/GlobalGAP基準を満たすWinEcoの野菜や、欧州基準を満たすMEATDeliの肉など、高品質な製品を提供することで、WCMは都市部から農村部まで、幅広い消費者のニーズに応えています。,"Các sản phẩm chất lượng như rau WinEco đạt chuẩn VietGAP/GlobalGAP hay thịt MEATDeli chuẩn châu Âu đã giúp WCM đáp ứng tốt nhu cầu người tiêu dùng, (trải rộng) từ thành thị đến vùng quê.",https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,
25,低い,ひくい,"thấp, ít",デジタルライフ・マルチメディア株式会社のTikTokショップパートナー＆クリエイターネットワーク責任者であるトゥアン・ドゥン氏は、ライブストリーミングは短期間で収益を生み出す可能性があるものの、非常に一時的なものであり、コンテンツの管理が難しく、長期的な価値は低いと述べています,"Ông Tuấn Dũng, Trưởng nhóm TikTok Shop Partner & Creator Network, Công ty Cổ phần Truyền thông đa phương tiện Cuộc Sống số cho rằng, livestream có thể tạo doanh thu nhanh, nhưng tính nhất thời cao, khó kiểm soát nội dung và ít để lại giá trị lâu dài. ",https://www.vietnam.vn/ja/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu,https://vtv.vn/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu-100250925181753744.htm,
26,広い,ひろい,rộng,「預金の獲得だけでなく、広い意味での金融サービスを提供するためにどういう経営主体が最適かという判断をしていると思う」と述べました。,"""Tôi nghĩ rằng họ đang đánh giá xem loại hình kinh doanh nào là phù hợp nhất để cung cấp các dịch vụ tài chính trong nghĩa rộng, chứ không chỉ đơn thuần là thu hút tiền gửi.""",https://www3.nhk.or.jp/news/html/20250812/k10014891981000.html,,
27,ふさわしい,ふさわしい,"phù hợp, thích hợp",いまは首脳会談を開くべき時ではなく、ふさわしい場所でもありません。,"Hiện nay không phải là thời điểm để tổ chức hội nghị thượng đỉnh, và cũng không phải là địa điểm thích hợp.",https://www3.nhk.or.jp/news/html/20250815/k10014894981000.html,,
28,太い,ふとい,"dày, lớn",接続作業では2つの線を束ねた金具を工具で圧縮して固定しますが、より太い線に使う工具で作業したため、圧縮が不十分で発熱しました。,"Trong quá trình kết nối, hai dây được buộc lại bằng kim loại được nén và cố định bằng dụng cụ, nhưng do sử dụng dụng cụ dành cho dây dày hơn nên việc nén không đủ và gây ra hiện tượng nóng lên.",https://www3.nhk.or.jp/news/html/20250606/k10014828121000.html,,
29,古い,ふるい,cũ,8月末には、別の会社も国家予算に押収された資産のオークションを発表しており、その中にはバクニン省民事判決執行庁から押収された中古携帯電話、電子機器、古いオフィス機器（携帯電話406台と電子機器34台：コンピューター、プリンター、Bluetoothスピーカーなど）が含まれていました。,"Trước đó, cuối tháng 8, một công ty khác cũng thông báo đấu giá lô tài sản bị tịch thu sung quỹ Nhà nước là điện thoại, thiết bị điện tử, máy văn phòng cũ đã qua sử dụng (gồm 406 điện thoại và 34 thiết bị điện tử: Máy vi tính, máy in, loa bluetooth…) của cơ quan Thi hành án dân sự tỉnh Bắc Ninh. ",https://www.vietnam.vn/ja/dau-gia-500-iphone-voi-gia-tu-2-5-trieu-dong-chiec-ket-qua-bat-ngo,https://dantri.com.vn/kinh-doanh/dau-gia-500-iphone-voi-gia-tu-25-trieu-dongchiec-ket-qua-bat-ngo-20250924174149089.htm,
30,難しい,むずかしい,khó,コンテンツが保存されていれば、消費者は簡単に再検索でき、管理機関も監視しやすくなる。これは、「瞬間的に存在する」ため検証が難しいライブストリーミングとの重要な違いである。,"Khi nội dung được lưu giữ, người tiêu dùng dễ dàng tra cứu lại, cơ quan quản lý cũng thuận lợi trong việc giám sát. Đây là điểm khác biệt quan trọng so với livestream – vốn “tồn tại trong khoảnh khắc” và khó kiểm chứng.",https://www3.nhk.or.jp/news/html/20250818/k10014896441000.htmlhttps://www.vietnam.vn/ja/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu,https://vtv.vn/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu-100250925181753744.htm,
31,安い,やすい,rẻ,これは、現在市場に出回っている中古のiPhone 13（ストレージ容量によって約700万～1100万ドン）よりもはるかに安い価格です," Hơn 70 chiếc trong số này là iPhone 12, 12 Pro và gần 400 chiếc iPhone 13 có giá 4 triệu đồng/chiếc - (giá) thấp hơn nhiều so với điện thoại iPhone 13 đã qua sử dụng trên thị trường hiện nay (khoảng 7-11 triệu đồng, tùy bộ nhớ lưu trữ)",https://www.vietnam.vn/ja/dau-gia-500-iphone-voi-gia-tu-2-5-trieu-dong-chiec-ket-qua-bat-ngo,https://dantri.com.vn/kinh-doanh/dau-gia-500-iphone-voi-gia-tu-25-trieu-dongchiec-ket-qua-bat-ngo-20250924174149089.htm,
32,弱い,よわい,yếu,「弱いドルははるかに多くの利益をもたらす」,"""Đồng đô la yếu mang lại nhiều lợi nhuận hơn""",https://www3.nhk.or.jp/news/html/20250726/k10014875001000.html,,
33,若い,わかい,trẻ,ベトナムにおける新規雇用の約80%は、ここ数年で設立された若く活力のある企業によって創出されています。これは民間セクターの力強い活力を示す、前向きな兆候です,"Khoảng 80% việc làm mới ở Việt Nam được tạo ra từ các doanh nghiệp trẻ (mới thành lập ít năm) năng động. Đây là tín hiệu tích cực, cho thấy sức sống mạnh mẽ của khu vực tư nhân.",https://www.vietnam.vn/ja/wb-viet-nam-dan-dau-tang-truong-khu-vuc-dong-a-thai-binh-duong-nam-2025,https://baochinhphu.vn/wb-viet-nam-dan-dau-tang-truong-khu-vuc-dong-a-thai-binh-duong-nam-2025-102251007152558927.htm,
34,深い,ふかい,Sâu sắc,レオ・チェン氏は、実際に実施されたプロジェクトから、業界の知的変革を促進する5つの重要な要素を導き出します。まず、適切なアプリケーション シナリオを選択することが重要な成功要因です。AI は、コア プロダクション シナリオに深く統合された場合にのみ価値を生み出すためです。,"Từ các dự án đã triển khai thực tế, ông Leo Chen rút ra năm yếu tố then chốt thúc đẩy chuyển đổi trí tuệ hóa ngành công nghiệp. Thứ nhất, việc lựa chọn đúng kịch bản ứng dụng là yếu tố quyết định thành công, bởi AI chỉ tạo ra giá trị khi được tích hợp sâu vào các kịch bản sản xuất cốt lõi.",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401159,
35,著しい,いちじるしい,"đáng kể, nổi bật",財政状況の差によって東京都と近隣県との間で行政サービスに著しい格差が生じているとして、千葉、神奈川、埼玉の３県の知事が国に対し財源の確保や税収の偏りの是正などを要望しました。,"Ba tỉnh trưởng Chiba, Kanagawa và Saitama đã kiến nghị lên chính phủ về việc bảo đảm nguồn tài chính và điều chỉnh sự mất cân đối trong thu thuế, với lý do sự khác biệt về tình hình tài chính đã dẫn đến sự chênh lệch đáng kể trong dịch vụ hành chính giữa Tokyo và các tỉnh lân cận.",https://www3.nhk.or.jp/news/html/20250829/k10014907381000.html,,
36,詳しい,くわしい,"Chi tiết, tường tận, am hiểu",審査会は複数の理事と監査役1人、そしてガバナンスのあり方に詳しい外部の専門家などで構成され、処分が必要かどうかについて理事会に勧告します。,"Hội đồng thẩm định được cấu thành từ nhiều giám đốc, một kiểm toán viên và các chuyên gia bên ngoài am hiểu về quản trị. Hội đồng này sẽ đưa ra khuyến nghị cho ban giám đốc về việc có cần thiết phải áp dụng hình thức xử lý hay không.",https://www3.nhk.or.jp/news/html/20250908/k10014916001000.html,,
37,輝かしい,かがやかしい,"Rực rỡ, vẻ vang, huy hoàng",少数与党の中、石破総理大臣がやってきたことの評価は歴史が証明するが、輝かしい仕事をしたと確信している,"Trong bối cảnh chính phủ chỉ chiếm thiểu số, những gì Thủ tướng Ishiba đã làm sẽ được lịch sử chứng minh, nhưng tôi tin chắc rằng ông đã để lại những thành quả rực rỡ.",https://www3.nhk.or.jp/news/html/20250908/k10014916151000.html,,
38,近い,ちかい,Gần,時価総額が現在の8倍近い8兆5000億ドル,"Giá trị vốn hóa thị trường gần 8,5 nghìn tỷ đô la Mỹ, tức gần gấp 8 lần so với hiện nay.",https://www3.nhk.or.jp/news/html/20250906/k10014915031000.html,,
39,早い,はやい,"sớm, nhanh",Automatic Profit 製品を先駆的に発売したことで、Techcombank は、市場をいち早くリードし、時間をかけて調査し、完全な製品機能、制限のない最適な収益、安全性、柔軟性を確保するという利点を獲得できました。,"Việc tiên phong ra mắt sản phẩm Sinh Lời Tự Động đã giúp Techcombank sở hữu lợi thế dẫn dắt thị trường sớm, có thời gian nghiên cứu, bảo đảm tính năng sản phẩm hoàn thiện, lợi suất tối ưu không ngăn không ngưỡng, an toàn, linh hoạt.",https://www.vietnam.vn/ja/cach-techcombank-tao-dau-an-khac-biet-voi-sinh-loi-tu-dong,https://vietnamnet.vn/cach-techcombank-tao-dau-an-khac-biet-voi-sinh-loi-tu-dong-2450148.html,
40,嬉しい,うれしい,"vui mừng, hạnh phúc",また皆様から貴重なお話を伺うことができましたこと、非常にうれしく思っております。 ,Tôi cũng rất vui vì đã có cơ hội được lắng nghe những chia sẻ quý báu từ mọi người.,西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.110,,
41,忙しい ,いそがしい ,bận rộn,しばらくはお忙しいことと存じますが、くれぐれもご自愛ください。 ,"Tôi biết rằng trong một thời gian tới quý vị sẽ còn bận rộn, nhưng xin hãy thật chú ý giữ gìn sức khỏe.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.113,,
42,申し訳ない,もうしわけない,thành thật xin lỗi,その際、手違いの商品を引き取らせていただきますので、お手数をお掛けし、申し訳なく存じますが、係の者にお引渡しいただければ幸いです。 ,"Trong dịp đó, chúng tôi sẽ thu hồi sản phẩm bị giao nhầm, chúng tôi thành thật xin lỗi vì đã gây phiền hà, mong quý khách vui lòng bàn giao lại cho nhân viên phụ trách.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.117,,
43,温かい,あたたかい,"ấm áp, nồng hậu",前職在職時には温かいご支援、ご協力を賜り、心より感謝申し上げます。 ,Tôi xin chân thành cảm ơn vì đã nhận được sự hỗ trợ và hợp tác nồng hậu của anh/chị trong suốt thời gian tôi còn làm việc ở công ty trước đây.,西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.124,,
44,よろしい,よろしい,thuận tiện,ご都合のよろしい日時について、2～3候補日をあげていただければ幸いです。 ,Tôi rất mong anh/chị có thể cho tôi biết 2–3 ngày giờ mà anh/chị thấy thuận tiện.,西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.126,,
45,読みやすい,よみやすい,dễ đọc,オールカラーで、大変読みやすい誌面構成に感服いたしております。 ,"Tôi thật sự ấn tượng trước cách trình bày toàn bộ bằng màu, rất dễ đọc.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.144,,
46,つらい,つらい,khó khăn,心身ともにおつらい時期かと存じますが、くれぐれもご無理なさいませんように。 ,"Tôi hiểu đây chắc hẳn là giai đoạn khó khăn cả về thể chất lẫn tinh thần, mong anh/chị đừng quá gắng sức.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.159,,
47,わかりやすい,わかりやすい,dễ hiểu,景気の動向が不透明なまま増税が行われた場合の消費者心理について、新たな見解も交えながら非常にわかりやすく説明していただきました。 ,"Anh/chị đã giải thích rất dễ hiểu về tâm lý của người tiêu dùng trong trường hợp tăng thuế khi xu hướng kinh tế vẫn còn mờ mịt, đồng thời đưa ra cả những quan điểm mới.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.163,,
48,新しい,あたらしい,mới,世界でもベトナムでも、企業のCEOをブランドアンバサダーに任命するというアイデアは目新しいものではありませんが、多くの大手ブランドが成功を収めています。,"Trên thế giới và ngay tại Việt Nam, CEO của một doanh nghiệp làm đại diện thương hiệu không phải là một ý tưởng mới lạ mà thực tế đã được nhiều thương hiệu lớn áp dụng thành công. ",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.169,,
49,面白い,おもしろい,thú vị,なるほど。賃貸オフィス、ホテル、店舗・・・か、各社のコンセプトの違いがはっきり出て面白いね,"Ra vậy. Văn phòng cho thuê, khách sạn, cửa hàng… Mỗi công ty có khái niệm (ý tưởng) khác nhau rõ rệt, thật thú vị nhỉ.",「BJTビジネス日本語能力テスト 模試と対策」p.136,,
50,うるさい,うるさい,"ồn ào, phiền phức",引き締め、引き締めってうるさく言われてるじゃないの。,"cứ nhắc đi nhắc lại chuyện siết chặt mãi thôi, ồn ào thật đấy.",「BJTビジネス日本語能力テスト 模試と対策」p.132,,
51,細かい ,こまかい,"nhỏ, lặt vặt",ちょっと細かいことが分かんないんだけど・・・。,Tôi chưa nắm rõ mấy chi tiết lặt vặt…,「BJTビジネス日本語能力テスト 模試と対策」p.130,,
52,小さい,ちいさい,nhỏ,「とろけるようなソフトタイプ」ってとこは、フォントを小さくしたんですね。,Phần dòng chữ ‘Loại mềm mịn tan chảy’ thì bạn đã làm font nhỏ lại nhỉ.,「BJTビジネス日本語能力テスト 模試と対策」p.128,,
53,柔らかい,やわらかい,mềm mại,そうね、真っすぐより斜めにすると、確かに柔らかさが出ますね。,"Ừ nhỉ, nghiêng một chút thay vì để thẳng, đúng là tạo cảm giác mềm mại hơn.",「BJTビジネス日本語能力テスト 模試と対策」p.128,,
54,親しみやすい,したしみやすい,"gần gũi, thân thiện ",こうした真の親睦を通して、ザ・ハイはより「人間的」で、親しみやすく、顧客に近い存在へと成長していきます。 ,"Từ sự đồng hành chân thực đó mà The High cũng trở nên ""con người"" hơn, dễ tiếp cận và gần gũi với khách hàng.",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,
55,悪い,わるい,,じゃあ、悪いけどスケジュール表に9時、日本商事訪問と、追加しておいてください。,"Vậy thì, phiền bạn ghi thêm vào lịch 9 giờ: đến thăm Công ty Thương mại Nhật Bản nhé.",「BJTビジネス日本語能力テスト 模試と対策」p.110,,
56,良い,いい・よい,tốt ,特に、農家の収入を増やし、環境に対してより良い行動をとることは、ベトナムの米生産の将来にとって、環境に優しく、責任があり、スマートで持続可能な前向きな方向に貢献します。,"Đặc biệt, tăng thêm một khoản thu nhập cho nông dân và ứng xử tốt hơn với môi trường góp phần vào định hướng tốt đẹp cho tương lai của nền sản xuất lúa Việt Nam - xanh, trách nhiệm, thông minh và bền vững.",https://www.vietnam.vn/ja/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam,https://baochinhphu.vn/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam-102250923190137343.htm,
57,優しい,やさしい,"thân thiện,  ứng xử tốt",特に、農家の収入を増やし、環境に対してより良い行動をとることは、ベトナムの米生産の将来にとって、環境に優しく、責任があり、スマートで持続可能な前向きな方向に貢献します。,"Đặc biệt, tăng thêm một khoản thu nhập cho nông dân và ứng xử tốt hơn với môi trường góp phần vào định hướng tốt đẹp cho tương lai của nền sản xuất lúa Việt Nam - xanh, trách nhiệm, thông minh và bền vững.",https://www.vietnam.vn/ja/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam,https://baochinhphu.vn/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam-102250923190137343.htm,
58,目覚ましい,めざましい,nổi bật,市場トレンドをリードするWCMは、2025年の最初の8ヶ月間で目覚ましい業績を達成しました。,"Đón đầu xu hướng thị trường, WCM đã ghi dấu với kết quả kinh doanh nổi bật trong 8 tháng đầu năm 2025. ",https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,
59,速い ,はやい,"nhanh, tốc độ cao",電子商取引サービスプロバイダーのAglobalによると、ベトナムは昨年16%以上の成長率を記録し、今年も20%以上の成長が見込まれており、 世界で電子商取引の成長が最も速い国トップ10に入っています。,"Theo đơn vị cung cấp dịch vụ về thương mại điện tử Aglobal, với tốc độ tăng trưởng hơn 16% vào năm ngoái và tiếp tục dự báo tăng trưởng hơn 20% vào năm nay, Việt Nam đang nằm trong nhóm 10 quốc gia có tốc độ tăng trưởng thương mại điện tử hàng đầu thế giới. ",https://www.vietnam.vn/ja/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu,https://vtv.vn/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu-100250925181753744.htm,
