STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),ô đỏ,: bổ sung thông tin
11,確実な,かくじつ,"xác thực, đảm bảo",AI が安全かつ持続可能かつ確実に動作することを保証するには、システム ガバナンスとリスク管理がますます重要になります。,"quản trị hệ thống cùng kiểm soát rủi ro ngày càng đóng vai trò quan trọng để đảm bảo AI vận hành an toàn, bền vững và đáng tin cậy.",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401159,,
12,過剰な,かじょうな,"vượt quá, quá mức",土日に連絡をして返答するのが当たり前、というのは、明らかに過剰な要求で、どこからどこまでが仕事なのかを明確に定義することが労働者を守るために必要だ,"Việc cho rằng liên lạc và trả lời vào cuối tuần là điều đương nhiên rõ ràng là một đòi hỏi quá mức, và để bảo vệ người lao động, cần thiết phải xác định rõ ràng ranh giới giữa công việc và đời sống riêng tư.",https://www3.nhk.or.jp/kansai-news/20241101/2000088846.html,,,
13,画期的な,かっきてきな,"Mang tính đột phá, đổi mới",画期的なソリューションを提供し、特にベトナム経済、ひいては地域全体に貢献できる民間企業が数多く存在することを確信した。同時に、多くの民間企業は認められることを切望している。,"có rất nhiều doanh nghiệp tư nhân có khả năng đưa ra các giải pháp đột phá, đóng góp cho nền kinh tế Việt Nam nói riêng và toàn khu vực nói chung. Song song, nhiều doanh nghiệp tư nhân cũng khát khao được công nhận.",https://www3.nhk.or.jp/news/html/20250902/k10014910391000.html,,,
14,危険な,きけんな,"nguy hiểm, rủi ro",関東甲信越 ９月に入っても危険な暑さに 熱中症対策の徹底を,"Khu vực Kanto–Koshinetsu: Ngay cả khi đã sang tháng 9, nắng nóng nguy hiểm vẫn tiếp diễn. Cần triệt để thực hiện các biện pháp phòng chống say nắng.",https://www3.nhk.or.jp/lnews/mito/20250901/1070028290.html,,,
15,客観的な,きゃっかんてきな,Khách quan,客観的な証拠を収集していれば男性が犯人でないことは明白で、誤認逮捕は容易に防げた。,"Nếu đã thu thập chứng cứ khách quan thì rõ ràng người đàn ông này không phải là hung thủ, và việc bắt nhầm đã có thể dễ dàng ngăn chặn.",https://www3.nhk.or.jp/news/html/20250724/k10014873521000.html,,,
16,強力な,きょうりょくな,mạnh mẽ,このモデルをさらに強力に発展させるためには、農家が機械にアクセスできるようにし、協同組合の役割を強化し、動物飼料、肥料、バイオエネルギーを生産する企業とつながるバリューチェーンを構築するための財政支援政策が必要だ,"Để thúc đẩy mô hình này phát triển mạnh mẽ hơn, cần có các chính sách hỗ trợ tài chính giúp nông dân tiếp cận máy móc, tăng cường vai trò hợp tác xã và xây dựng chuỗi giá trị kết nối với các doanh nghiệp sản xuất thức ăn chăn nuôi, phân bón và năng lượng sinh học",https://www.vietnam.vn/ja/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam,https://baochinhphu.vn/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam-102250923190137343.htm,,
17,巨大な,きょだい,to lớn,アフリカは、25年後の2050年には世界の人口のおよそ4分の1を占めると予想されているうえ、年齢も若いため、巨大市場に成長すると期待されています。,"Vào năm 2050, tức 25 năm kể từ năm nay, dân số châu Phi ước tính sẽ chiếm 1/4 dân số thế giới, hơn nữa vì dân số trẻ nên châu Phi được kỳ vọng sẽ trở phát triển thành một thị trường khổng lồ",https://www3.nhk.or.jp/news/html/20250818/k10014896421000.html,,,
18,緊急な,きんきゅうな,khẩn cấp,従来の市場での野菜価格の変動と、嵐10号による供給途絶のリスクに直面し、大手小売チェーンは緊急対応計画を同時に発動した。,"Trước biến động giá cả rau củ tại các chợ truyền thống và nguy cơ đứt gãy nguồn cung do bão số 10, các hệ thống bán lẻ lớn đã đồng loạt kích hoạt kế hoạch ứng phó khẩn cấp.",,,,
19,緊密な,きんみつな,mật thiết (mối quan hệ),農林水産物の貿易など両国の関係は緊密になっている。,"Mối quan hệ giữa hai nước ngày càng trở nên mật thiết hơn, trong đó có thương mại nông lâm thủy sản",,,,
20,具体的な,ぐたいてき,về mặt cụ thể,"具体的には、ソン・キム不動産株式会社が、ホーチミン市アンカン区のR1、R2、R3、R4、R5区画にある全3,790戸のマンションの競売に参加するための登録申請書を提出し、同時に同プロジェクトの開発・活用計画を提案した。","Cụ thể, Công ty CP Bất động sản Sơn Kim đã nộp hồ sơ đăng ký tham gia đấu giá toàn bộ 3.790 căn hộ chung cư thuộc các lô R1, R2, R3, R4, R5 ở phường An Khánh, TP HCM đồng thời đưa ra phương án khai thác, phát triển dự án. ",www.vietnam.vn/ja/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3-790-can-ho-bo-hoang-o-thu-thiem,https://nld.com.vn/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3790-can-ho-bo-hoang-o-thu-thiem-196250919130352158.htm,,
21,経済的な,けいざいてきな,tính kinh tế,経済的な負担も大きく、食べ物を買う余裕がない。,"Gánh nặng kinh tế cũng rất lớn, không đủ tiền để mua thức ăn.",https://www3.nhk.or.jp/news/html/20250902/k10014909911000.html,,,
22,厳格な,げんかくな,nghiêm ngặt ,ナム氏は、新たなトレンドの爆発的な増加に伴い、管理機関からの要求はますます厳しくなると考えている。税制の厳格化、製品品質の管理、ライブ配信やプロモーションコンテンツの管理に至るまで、あらゆる面で厳しくなるだろう。,"Ông Nam cho rằng, đi cùng sự bùng nổ của các xu hướng mới sẽ là những đòi hỏi ngày càng khắt khe hơn từ phía cơ quan quản lý: từ siết chặt chính sách thuế, quản lý chất lượng sản phẩm đến kiểm soát nội dung livestream, quảng bá.",https://www.vietnam.vn/ja/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu,https://vtv.vn/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu-100250925181753744.htm,,
23,健康,けんこう,khỏe mạnh,気温が30度くらいなら良いが35度とか40度近くになると健康にも良くないので、防衛策としての購入が増えているのではないか,"Nhiệt độ vào khoảng 30 độ sẽ ổn, nhưng khi nhiệt độ gần 35 hoặc 40 độ thì không tốt cho sức khỏe, vì vậy tôi nghĩ chẳng phải càng nhiều người sẽ mua nó như một biện pháp phòng vệ hay sao.",https://www3.nhk.or.jp/news/html/20250815/k10014894571000.html,,,
24,健全な,けんぜんな,"Lành mạnh, ổn định",引き続き内部管理態勢の強化や健全な企業文化の醸成につとめていきます,Chúng tôi sẽ tiếp tục nỗ lực tăng cường hệ thống quản lý nội bộ và xây dựng văn hóa doanh nghiệp lành mạnh.,https://www3.nhk.or.jp/news/html/20250722/k10014870851000.html,,,
25,顕著な,けんちょな,"nổi bật, rõ rệt",伝統的なチャネルから現代的なチャネルへの移行の傾向はますます顕著になっています。,Xu hướng chuyển dịch từ kênh truyền thống sang kênh hiện đại ngày càng rõ nét. ,https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,,
26,現代的な,げんだいてきな,hiện đại,伝統的なチャネルから現代的なチャネルへの移行の傾向はますます顕著になっています。,Xu hướng chuyển dịch từ kênh truyền thống sang kênh hiện đại ngày càng rõ nét. ,https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,,
27,堅調な,けんちょうな,vững chắc,このうち、非製造業は観光需要が堅調でサービス業や運輸業の利益が伸びたことなどから去年の同じ時期より6.6％増えました。,"Trong đó, ngành phi sản xuất tăng 6,6% so với cùng kỳ năm ngoái do nhu cầu du lịch tăng mạnh và lợi nhuận tăng trong ngành dịch vụ và vận tải.",https://www3.nhk.or.jp/news/html/20250901/k10014909121000.html,,,
28,高価な,こうかな,"đắt tiền, giá cao",水族館によりますと、無くなったベビーカーは水族館が購入したり寄贈を受けたりしたものだということで、1台7万円ほどと高価なものもあります。,"Theo thông tin từ thủy cung, những chiếc xe đẩy trẻ em bị mất là do thủy cung mua hoặc được tặng, trong đó có những chiếc khá đắt, khoảng 70.000 yên một chiếc.",https://www3.nhk.or.jp/news/html/20250326/k10014761281000.html,,,
29,高級な,こうきゅうな,cao cấp,これが、ソン・キム・ランドのような高級住宅分野の大手企業と、ビーコンズ・ランドのような低価格住宅を専門とする企業の両方が参加を決めた理由です。 ,"Điều này lý giải vì sao cả những ông lớn trong phân khúc cao cấp như Sơn Kim Land, lẫn các doanh nghiệp chuyên làm nhà ở giá thấp như Bcons Land quyết định tham gia.",https://www.vietnam.vn/ja/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3-790-can-ho-bo-hoang-o-thu-thiem,https://nld.com.vn/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3790-can-ho-bo-hoang-o-thu-thiem-196250919130352158.htm,,
30,好調な,こうちょうな,điều kiện tốt,特に、WinCommerce（WCM）は年初8ヶ月で好調な業績を記録し、第3四半期の売上高目標を10兆VND（約1兆円）を超えると見込んでいます。,"Trong đó, WinCommerce (WCM) ghi nhận kết quả tích cực trong 8 tháng đầu năm, đặt mục tiêu doanh thu quý III có thể vượt mốc 10.000 tỷ đồng.",https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,,
31,小幅な,こはばな,"nhỏ, ít ",9月1日の東京外国為替市場、日米の金融政策の行方を見極めたいとして積極的な取り引きが控えられ、円相場はドルに対して、小幅な値動きとなりました。,"Vào ngày 1 tháng 9, thị trường ngoại hối Tokyo chứng kiến ​​đồng yên ít biến động so với đồng đô la vì giao dịch sôi động bị hạn chế do các nhà đầu tư chờ đợi xem hướng đi của chính sách tiền tệ tại Nhật Bản và Hoa Kỳ.",https://www3.nhk.or.jp/news/html/20250901/k10014909721000.html,,,
32,困難な,こんなんな,khó khăn,したがって、第一審判決および控訴審判決はともに、ThuDuc Houseの正当な権利と利益は無関係であり、同社は税金還付額および関連する延滞利息について責任を負わないことを確認した。ThuDuc Houseの代表は、この判決は企業の正当な権利を保護するだけでなく、明確な法的根拠を確立し、これまで多くの困難を引き起こしてきた行政上の障壁を取り除くことに貢献すると述べた。,"Như vậy, cả bản án sơ thẩm lẫn phúc thẩm đều khẳng định quyền và lợi ích hợp pháp của ThuDuc House là không liên quan và không phải chịu trách nhiệm đối với số tiền hoàn thuế và khoản lãi chậm nộp có liên quan. Đại diện ThuDuc House cho rằng phán quyết này không chỉ bảo vệ quyền lợi chính đáng của doanh nghiệp, mà còn thiết lập cơ sở pháp lý rõ ràng, góp phần tháo gỡ những rào cản hành chính vốn đã gây nhiều khó khăn trong quá khứ. ",https://www.vietnam.vn/ja/thuduc-house-thang-kien-thue-gtgt-365-ti-co-phieu-tang-manh,https://nld.com.vn/mot-doanh-nghiep-bat-dong-san-thang-kien-co-quan-thue-196250924130717958.htm,,
33,根本的な,こんぽんてきな,"Cơ bản, căn bản",今日の消費者は、迅速な取引だけでなく、エンターテイメント、つながり、そして個々のニーズに合わせたサービスも期待しています。これは、オンライン消費者行動における根本的な変化です。 ,"Người tiêu dùng hiện nay không chỉ mong muốn một giao dịch nhanh chóng, mà còn kỳ vọng được giải trí, được kết nối và được phục vụ theo nhu cầu riêng. Đây là sự thay đổi căn bản trong hành vi tiêu dùng trực tuyến.",https://www.vietnam.vn/ja/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu,https://vtv.vn/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu-100250925181753744.htm,,
34,持続的な,じぞくてきな,"bền vững, lâu bền",アフリカの持続的な経済成長のための資金需要がますます増大する中、民間セクターの活力の取り込みが今まで以上に重要だ,"Trong bối cảnh nhu cầu vốn cho tăng trưởng kinh tế bền vững của châu Phi ngày càng gia tăng, việc huy động và tận dụng sức mạnh của khu vực tư nhân trở nên quan trọng hơn bao giờ hết.",https://www3.nhk.or.jp/news/html/20250821/k10014899361000.html,,,
35,実際的な,じっさいてきな,thực tế,実際的な関係を築いてきたと強調しました。,Nhấn mạnh rằng đã xây dựng được mối quan hệ thực tế.,https://www3.nhk.or.jp/news/html/20250816/k10014896421000.html,,,
36,実質的な,じっしつてきな,thực chất,実質的な協議の場と平和への道を切り開くことだ。,"Đây được xem là một diễn đàn đối thoại thực chất, mở ra con đường hướng tới hòa bình.",https://www3.nhk.or.jp/news/html/20250816/k10014896421000.html,,,
37,実用的な,じつようてきな,thực dụng,国益中心の実用的な外交を原則として…,"Lấy nguyên tắc ngoại giao thực dụng, đặt lợi ích quốc gia làm trung tâm.",https://www3.nhk.or.jp/news/html/20250815/k10014894811000.html,,,
38,重大な,じゅうだい,"quan trọng, nghiêm trọng",まさにことは重大だ。,Đây thực sự là một vấn đề nghiêm trọng.,https://www3.nhk.or.jp/news/html/20250816/k10014896421000.html,,,
39,自由な,じゆうな,tự do,ブルーマウンテンコーヒーをゆったりした気分で飲むことができるのは自由な人、モノ、カネ、サービスの行き来を支えているグローバリゼーションのおかげだ。,"Việc có thể thong thả thưởng thức cà phê Blue Mountain là nhờ vào toàn cầu hóa, vốn hỗ trợ cho sự lưu chuyển tự do của con người, hàng hóa, tiền tệ và dịch vụ.",https://www3.nhk.or.jp/news/html/20230209/k10013975771000.html,,,
40,柔軟な,じゅうなんな,"Linh hoạt, mềm dẻo",売りたい事業者がいれば9月以降も柔軟に売れるような環境を農林水産省は作ってほしいと思う,"Tôi hy vọng Bộ Nông nghiệp, Lâm nghiệp và Thủy sản sẽ tạo ra môi trường để các doanh nghiệp muốn bán hàng có thể thực hiện một cách linh hoạt ngay cả sau tháng 9.",https://www3.nhk.or.jp/news/html/20250818/k10014896681000.html,,,
41,十分な,じゅうぶんな,đầy đủ,備蓄米を倉庫から出す作業に想定より時間がかかっているため、十分な量を販売できていないということです。,Việc lấy gạo dự trữ ra khỏi kho mất nhiều thời gian hơn dự kiến ​​nên họ không thể bán đủ số lượng.,https://www3.nhk.or.jp/news/html/20250818/k10014896681000.html,,,
42,重要な,じゅうような,quan trọng,競争の激しい市場においては、信頼の構築とブランドの差別化が成功につながる重要な要素となります。,"Trong bối cảnh thị trường cạnh tranh khốc liệt, việc xây dựng niềm tin và sự khác biệt cho thương hiệu là yếu tố quan trọng dẫn đến thành công. ",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
43,主観的な,しゅかんてきな,Chủ quan,『非関税障壁』に主観的要素が入っていいはずはない。,Trong “Rào cản phi thuế quan” thì không thể có chỗ cho yếu tố chủ quan.,https://www3.nhk.or.jp/news/html/20250226/k10014733361000.html,,,
44,主要な,しゅような,"trọng điểm, then chốt",ソン・キム・ランド社はまた、スオイティエン・バスターミナル地下鉄駅とトゥーティエム鉄道駅という2つの主要エリアで公共交通機関を重視した都市開発区域の調査と計画の許可を求めた。,"Sơn Kim Land cũng xin chủ trương cho phép nghiên cứu, lập quy hoạch khu vực phát triển đô thị theo định hướng giao thông công cộng tại hai khu vực trọng điểm: nhà ga metro Bến xe Suối Tiên và ga đường sắt Thủ Thiêm.",https://www.vietnam.vn/ja/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3-790-can-ho-bo-hoang-o-thu-thiem,https://nld.com.vn/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3790-can-ho-bo-hoang-o-thu-thiem-196250919130352158.htm,,
45,順調な,じゅんちょうな,Thuận lợi,当社では入荷した分は順調に売れているものの、まだすべてのコメが入荷できているわけではない。,"Doanh nghiệp chúng tôi mặc dù đang bán phần đã nhập một cách thuận lợi, nhưng không có nghĩa là chúng tôi có thể nhập hết gạo được",https://www3.nhk.or.jp/news/html/20250818/k10014896681000.html,,,
46,丈夫な,じょうぶな,"bền, vững chắc",世界に先駆けて、軽くて丈夫なチタン製メガネを開発するなど“鯖江メガネ”は国際的にも一目置かれるブランドに成長しました。,"Tiên phong trên thế giới trong việc phát triển kính titan nhẹ và bền, ""Sabae Glasses"" đã phát triển thành một thương hiệu được quốc tế công nhận.",https://www3.nhk.or.jp/news/html/20230217/k10013983351000.html,,,
47,深刻な,しんこくな,nghiêm trọng,グエン・ティ・フォン・タオ氏は、システムが深刻な混雑に陥っていた2020年にFPTと共にHOSEを「救出」した道のりを振り返り、民間部門の先駆的な役割を強調した。,"Bà Nguyễn Thị Phương Thảo kể lại hành trình cùng FPT “giải cứu” HOSE năm 2020, khi hệ thống nghẽn lệnh nghiêm trọng, khẳng định vai trò tiên phong của khối tư nhân.",https://www.vietnam.vn/ja/ty-phu-nguyen-thi-phuong-thao-ke-khong-choi-chung-khoan-van-cuu-hose,https://dantri.com.vn/kinh-doanh/ty-phu-nguyen-thi-phuong-thao-ke-khong-choi-chung-khoan-van-cuu-hose-20250930152034691.htm,,
,先駆的な,せんくてきな,tiên phong,グエン・ティ・フォン・タオ氏は、システムが深刻な混雑に陥っていた2020年にFPTと共にHOSEを「救出」した道のりを振り返り、民間部門の先駆的な役割を強調した。,"Bà Nguyễn Thị Phương Thảo kể lại hành trình cùng FPT “giải cứu” HOSE năm 2020, khi hệ thống nghẽn lệnh nghiêm trọng, khẳng định vai trò tiên phong của khối tư nhân.",https://www.vietnam.vn/ja/ty-phu-nguyen-thi-phuong-thao-ke-khong-choi-chung-khoan-van-cuu-hose,https://dantri.com.vn/kinh-doanh/ty-phu-nguyen-thi-phuong-thao-ke-khong-choi-chung-khoan-van-cuu-hose-20250930152034691.htm,,
49,迅速な,じんそくな,nhanh chóng,"ViPELは、迅速な行動と長期的な戦略メカニズムという二つの柱で構成されています。特に迅速な行動においては、2025年以降、ViPEL 20-200-2,000ポートフォリオを展開し、国家レベルのプロジェクト20件（インフラ、コアテクノロジー、新エネルギーなど）、地方レベルのプロジェクト200件（物流、人材、地域優位性）、草の根レベルのプロジェクト2,000件（ハイテク農業、コミュニティツーリズムなど）を目標とします。","ViPEL gồm 2 trụ cột là hành động nhanh và cơ chế chiến lược dài hạn. Trong đó, với hành động nhanh, từ năm 2025 sẽ triển khai danh mục ViPEL 20-200-2.000 với các mục tiêu 20 dự án cấp quốc gia (hạ tầng, công nghệ lõi, năng lượng mới…); 200 dự án cấp địa phương (logistics, nhân lực, lợi thế vùng); 2.000 dự án cấp cơ sở (nông nghiệp công nghệ cao, du lịch cộng đồng…).",https://www.vietnam.vn/ja/ty-phu-nguyen-thi-phuong-thao-ke-khong-choi-chung-khoan-van-cuu-hose,https://dantri.com.vn/kinh-doanh/ty-phu-nguyen-thi-phuong-thao-ke-khong-choi-chung-khoan-van-cuu-hose-20250930152034691.htm,,
50,慎重な,しんちょうな,thận trọng,先週の市場は、幅広い調整と買い増しの動きを見せました。建設セクターはプラスの展開を見せ、保険、石油・ガス、工業団地の回復も見られました。一方で、テクノロジー・通信、鉄鋼、小売、港湾、不動産、証券、肥料、化学といった主要セクターの多くは、大幅な調整圧力にさらされました。この乖離は、明確な投資機会が見られない中で、投資家が慎重な姿勢をとっていることを反映しています。,"Thị trường tuần qua cho thấy độ rộng nghiêng về điều chỉnh và tích lũy. Các nhóm ngành ghi nhận diễn biến tích cực như xây dựng, cùng với sự phục hồi ở bảo hiểm, dầu khí và khu công nghiệp. Ngược lại, nhiều nhóm ngành chủ chốt chịu áp lực điều chỉnh đáng kể như công nghệ-viễn thông, thép, bán lẻ, cảng, bất động sản, chứng khoán, phân bón - hóa chất. Sự phân hóa này phản ánh tâm lý thận trọng của nhà đầu tư khi thiếu vắng các cơ hội rõ ràng.",https://www.vietnam.vn/ja/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi,https://vtcnews.vn/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi-ar967953.html,,
51,シンプルな,しんぷるな,đơn giản,極めてシンプルな質問だと思ったんですが、石破首相は一瞬ことばに詰まりました。,"Đây là một câu hỏi hết sức đơn giản, nhưng Thủ tướng Ishiba đã thoáng lúng túng trong giây lát.",https://www3.nhk.or.jp/news/html/20250703/k10014851951000.html,,,
52,速やかな,すみやかな,nhanh chóng,事務方の協議が整いしだい、大統領令の発出までに私自身あと1回は少なくとも訪米する。引き続き日米間の合意の誠実かつ速やかな実施の方策について協議していく,"Sau khi các cuộc thảo luận cấp chuyên viên hoàn tất, tôi sẽ đích thân đến thăm Hoa Kỳ ít nhất một lần nữa trước khi ban hành sắc lệnh của Tổng thống. Chúng tôi sẽ tiếp tục thảo luận các biện pháp để thực hiện thỏa thuận Nhật Bản-Hoa Kỳ một cách trung thực và nhanh chóng.",https://www3.nhk.or.jp/news/html/20250902/k10014910411000.html,,,
53,生産的な,せいさんてきな,"sản xuất lực, năng suất",低技能の外国人労働者への依存が不健全な水準に近づいている地域があり、それが生産性の伸びを抑制し…,"Việc phụ thuộc vào lao động nhập cư không chuyên trở nên không lành mạnh, và điều đó đang kìm hãm sự tăng trưởng của năng suất.",https://jp.wsj.com/articles/rich-countries-are-becoming-addicted-to-cheap-labor-ba268d22?,,,
54,誠実な,せいじつな,trung thực,事務方の協議が整いしだい、大統領令の発出までに私自身あと1回は少なくとも訪米する。引き続き日米間の合意の誠実かつ速やかな実施の方策について協議していく,"Sau khi các cuộc thảo luận cấp chuyên viên hoàn tất, tôi sẽ đích thân đến thăm Hoa Kỳ ít nhất một lần nữa trước khi ban hành sắc lệnh của Tổng thống. Chúng tôi sẽ tiếp tục thảo luận các biện pháp để thực hiện thỏa thuận Nhật Bản-Hoa Kỳ một cách trung thực và nhanh chóng.",https://www3.nhk.or.jp/news/html/20250902/k10014910411000.html,,,
55,積極的な,せっきょくてきな,tích cực,透明性と繋がりが重視される時代において、CEOがブランドアンバサダーとして積極的に活動することは、単なるトレンドではなく、スマートなコミュニケーション手段でもあります。,"Trong kỷ nguyên của sự minh bạch và kết nối, việc các CEO bước ra làm đại diện thương hiệu không chỉ là một xu hướng (tích cực) mà còn là một cách làm truyền thông thông minh. ",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
56,絶好調な,ぜっこうちょうな,"cực kỳ thuận lợi, đỉnh cao",「業績絶好調な企業」ランキングTOP100,Xếp hạng 100 doanh nghiệp có hiệu suất kinh doanh cực kỳ cao.,https://diamond.jp/articles/-/264951?,,,
57,全体的な,ぜんたいてきな,toàn thể,新米と備蓄米が重なることによって、全体的な精米量が減るということはない,Sự chồng chéo giữa gạo mới và gạo dự trữ không làm giảm. tổng lượng gạo sạch,https://www3.nhk.or.jp/news/html/20250901/k10014909571000.html,,,
58,想定外な,そうていがいな,ngoài dự tính,ここまでの暑さは想定外で、戦略を立てるのが難しい。,"Nắng nóng vượt ngoài dự tính, khiến việc xây dựng chiến lược trở nên khó khăn.",,,,
