STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),ô đỏ,: bổ sung thông tin
12,過剰な,かじょうな,"vượt quá, quá mức, dư",金融サービス会社フジトミ証券のアナリスト、田澤敏孝氏は、産油国の増産による供給過剰の可能性に対する懸念と、米中貿易摩擦の激化による景気後退への懸念が相まって、売り圧力を引き起こしていると述べた。,"Nhà phân tích Toshitaka Tazawa tại công ty dịch vụ tài chính Fujitomi Securities cho biết, những lo ngại về triển vọng dư cung từ việc các quốc gia sản xuất dầu tăng sản lượng, kết hợp với nỗi sợ về một cuộc suy thoái kinh tế bắt nguồn từ căng thẳng thương mại Mỹ-Trung leo thang đang thúc đẩy áp lực bán ra.",https://www.vietnam.vn/ja/noi-lo-du-cung-tiep-tuc-de-nang-len-gia-dau,https://baotintuc.vn/thi-truong-tien-te/noi-lo-du-cung-tiep-tuc-de-nang-len-gia-dau-20251020160204113.htm,,
13,画期的な,かっきてきな,"đột phá, đổi mới, bứt phá",今期の成果は、単なる目的地ではなく、未来への出発点でもあります。安定した経済、合理化された制度、そして人間的な社会という3つの確固たる柱が築かれました。不安定な世界情勢下において、低インフレ、適切に管理された公的債務、そして健全な財政を維持していることは、この国がダイナミックで力強い発展を遂げる国を運営する能力の証です。画期的なインフラ整備は、新たな開発空間を開拓し、地域間の連携を深め、距離を縮め、工業化への道を切り開きます。,"Thành tựu của nhiệm kỳ này không chỉ là đích đến, mà là bệ phóng cho tương lai. Ba trụ cột vững chắc đã được định hình: Nền kinh tế ổn định – thể chế tinh gọn – xã hội nhân văn. Giữ được lạm phát thấp, nợ công được kiểm soát tốt, ngân sách lành mạnh trong bối cảnh thế giới biến động là minh chứng của năng lực điều hành quốc gia năng động, phát triển mạnh mẽ. Hạ tầng bứt phá mở ra không gian phát triển mới, kết nối vùng miền, rút ngắn khoảng cách, mở đường cho công nghiệp hóa.",https://www.vietnam.vn/ja/2021-2025-ban-linh-viet-nam-va-nen-tang-cho-ky-nguyen-vuon-minh,https://baochinhphu.vn/2021-2025-ban-linh-viet-nam-va-nen-tang-cho-ky-nguyen-vuon-minh-102251021162755086.htm,,
14,危険な,きけんな,"nguy hiểm, rủi ro",世界最大の経済大国の健全性を測る指標が突如消え去ったことで、世界中の投資家、企業、そして中央銀行は「霧の中を走っている」ような状況に陥っています。正確なデータの欠如はボラティリティを高め、投資、生産、そして金融政策に関する意思決定を危険なものにしています。,"Các nhà đầu tư, doanh nghiệp và ngân hàng trung ương trên toàn thế giới đang hoạt động trong tình trạng “chạy trong sương mù”, khi những cột mốc đo lường sức khỏe của nền kinh tế lớn nhất thế giới bỗng dưng biến mất. Sự thiếu vắng dữ liệu chính xác khiến biến động gia tăng, làm cho việc đưa ra các quyết định đầu tư, sản xuất hay chính sách tiền tệ trở nên đầy rủi ro.",https://www.vietnam.vn/ja/kinh-te-toan-cau-rui-ro-tu-nut-that-cang-thang-thuong-mai,https://www.vietnam.vn/kinh-te-toan-cau-rui-ro-tu-nut-that-cang-thang-thuong-mai,,
15,客観的な,きゃっかんてきな,Khách quan,米国商務省がベトナムを市場経済国として承認しないと発表したことに関して、グエン・スアン・タン氏は、ベトナムは、この件について非常に遺憾に思い、失望していると述べた。なぜなら、近年、両国間の貿易・投資関係はかつてないほど力強く発展しており、両国は関係を包括的戦略的パートナーシップに引き上げるために多大な努力を払ってきたからである。ベトナムは、米国商務省が市場経済国としての承認を検討する際に設定した6つの基準をすべて満たしている。グエン・スアン・タン氏は、両国は交流を継続的に増やす必要があり、米国は客観的に評価し、ベトナムを市場経済国として承認する方向に進む必要があると提言した。,"Về việc Bộ Thương mại Mỹ thông báo chưa công nhận Việt Nam là quốc gia có nền kinh tế thị trường, ông Nguyễn Xuân Thắng nêu rõ Việt Nam rất lấy làm tiếc và thất vọng về điều này bởi trong thời gian qua, quan hệ thương mại, đầu tư giữa hai nước đã phát triển mạnh mẽ chưa từng có; hai nước cũng đã có những nỗ lực to lớn trong việc nâng tầm quan hệ lên Đối tác Chiến lược Toàn diện; Việt Nam đã đáp ứng được tất cả 6 tiêu chí mà Bộ Thương mại Mỹ đưa ra khi xem xét công nhận một quốc gia có nền kinh tế thị trường. Ông Nguyễn Xuân Thắng đề nghị hai bên cần tiếp tục tăng cường trao đổi, Mỹ cần đánh giá một cách khách quan, tiến tới công nhận Việt Nam là nền kinh tế thị trường.",https://www.vietnam.vn/ja/de-nghi-my-danh-gia-khach-quan-tien-toi-cong-nhan-viet-nam-la-nen-kinh-te-thi-truong,https://laodong.vn/thoi-su/de-nghi-my-danh-gia-khach-quan-tien-toi-cong-nhan-viet-nam-la-nen-kinh-te-thi-truong-1376010.ldo,,
16,強力な,きょうりょくな,mạnh mẽ,このモデルをさらに強力に発展させるためには、農家が機械にアクセスできるようにし、協同組合の役割を強化し、動物飼料、肥料、バイオエネルギーを生産する企業とつながるバリューチェーンを構築するための財政支援政策が必要だ,"Để thúc đẩy mô hình này phát triển mạnh mẽ hơn, cần có các chính sách hỗ trợ tài chính giúp nông dân tiếp cận máy móc, tăng cường vai trò hợp tác xã và xây dựng chuỗi giá trị kết nối với các doanh nghiệp sản xuất thức ăn chăn nuôi, phân bón và năng lượng sinh học",https://www.vietnam.vn/ja/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam,https://baochinhphu.vn/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam-102250923190137343.htm,,
17,巨大な,きょだいな,khổng lồ,アメリカの「ビッグセブン」（Mag-7）と呼ばれるテクノロジー大手のほとんどは、S&P 500の成長の大部分を占め、巨額の現金を保有する、確固たる地位を築き収益性の高い巨大企業です。,"Hầu hết nhóm ""Bảy ông lớn"" (Mag-7) công nghệ Mỹ đều là những gã khổng lồ lâu đời, có lợi nhuận, đóng góp phần lớn vào tăng trưởng của Chỉ số S&P 500 và đang nắm giữ lượng tiền mặt dự trữ khổng lồ. ",https://www.vietnam.vn/ja/con-sot-dau-tu-nghin-ty-do-la-vao-ai-va-noi-so-bong-bong-dot-com,https://dantri.com.vn/cong-nghe/con-sot-dau-tu-nghin-ty-do-la-vao-ai-va-noi-so-bong-bong-dot-com-20251020134738052.htm,,
18,緊急な,きんきゅうな,khẩn cấp,従来の市場での野菜価格の変動と、嵐10号による供給途絶のリスクに直面し、大手小売チェーンは緊急対応計画を同時に発動した。,"Trước biến động giá cả rau củ tại các chợ truyền thống và nguy cơ đứt gãy nguồn cung do bão số 10, các hệ thống bán lẻ lớn đã đồng loạt kích hoạt kế hoạch ứng phó khẩn cấp.",https://www.vietnam.vn/ja/sieu-thi-tang-thuc-pham-ra-vung-bao-bualoi-khong-de-khan-hang-tang-gia,https://dantri.com.vn/kinh-doanh/sieu-thi-tang-thuc-pham-ra-vung-bao-bualoi-khong-de-khan-hang-tang-gia-20250930144118492.htm,,
19,緊密な,きんみつな,chặt chẽ (mối quan hệ),2025年を見据えると、 中央銀行の金融政策運営は、 インフレ抑制と通貨価値の安定という目標を達成することになる。 それに加え、 経済成長を積極的に支援し、 経済の主要な均衡の確保も支援する必要がある。ダオ・ミン・トゥ副総裁は、 こうした観点と目標、 そしてこれまでの経験と教訓を踏まえ、 今年の金融政策は引き続き柔軟かつ緊密に、 財政政策やその他のマクロ経済政策に従って運営されるだろうと述べた。,"Nhìn về năm 2025, về mặt quan điểm, điều hành chính sách tiền tệ của NHNN sẽ làm sao đạt được mục tiêu kiểm soát lạm phát, ổn định giá trị đồng tiền. Cùng với đó, phải hỗ trợ một cách tích cực cho tăng trưởng nền kinh tế, cũng như hỗ trợ đảm bảo những cân đối lớn của nền kinh tế. Với quan điểm và mục tiêu như vậy, cũng như kinh nghiệm và các bài học trước đây, Phó Thống đốc Đào Minh Tú cho biết điều hành chính sách tiền tệ năm nay sẽ tiếp tục được điều hành một cách linh hoạt, chặt chẽ và phù hợp với chính sách tài khóa cũng như các chính sách kinh tế vĩ mô khác.",https://www.vietnam.vn/ja/phoi-hop-chat-che-dong-bo-cac-chinh-sach-de-dat-tang-truong-kinh-te-8,https://www.vietnam.vn/phoi-hop-chat-che-dong-bo-cac-chinh-sach-de-dat-tang-truong-kinh-te-8,,
20,具体的な,ぐたいてきな,về mặt cụ thể,"具体的には、ソン・キム不動産株式会社が、ホーチミン市アンカン区のR1、R2、R3、R4、R5区画にある全3,790戸のマンションの競売に参加するための登録申請書を提出し、同時に同プロジェクトの開発・活用計画を提案した。","Cụ thể, Công ty CP Bất động sản Sơn Kim đã nộp hồ sơ đăng ký tham gia đấu giá toàn bộ 3.790 căn hộ chung cư thuộc các lô R1, R2, R3, R4, R5 ở phường An Khánh, TP HCM đồng thời đưa ra phương án khai thác, phát triển dự án. ",www.vietnam.vn/ja/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3-790-can-ho-bo-hoang-o-thu-thiem,https://nld.com.vn/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3790-can-ho-bo-hoang-o-thu-thiem-196250919130352158.htm,,
21,経済的な,けいざいてきな,tính kinh tế,Z世代は経済的なプレッシャーに苦しんでいますが、多くの人が苦労する代わりに寝たきりでいることを選んでいます。これは一種の降伏なのでしょうか、それとも「生き残る」ための賢明な方法なのでしょうか？,"Gen Z đang chật vật giữa áp lực kinh tế, nhưng thay vì vùng vẫy, không ít người lại chọn nằm lì trên giường. Đó là sự buông xuôi hay một cách “sống sót” khôn ngoan?",https://www.vietnam.vn/ja/gen-z-kiet-que-tai-chinh-nam-li-tren-giuong-de-tron-tranh-hay-de-dau-tu,https://dantri.com.vn/kinh-doanh/gen-z-kiet-que-tai-chinh-nam-li-tren-giuong-de-tron-tranh-hay-de-dau-tu-20250919223146983.htm,,
22,厳格な,げんかくな,nghiêm ngặt ,ナム氏は、新たなトレンドの爆発的な増加に伴い、管理機関からの要求はますます厳しくなると考えている。税制の厳格化、製品品質の管理、ライブ配信やプロモーションコンテンツの管理に至るまで、あらゆる面で厳しくなるだろう。,"Ông Nam cho rằng, đi cùng sự bùng nổ của các xu hướng mới sẽ là những đòi hỏi ngày càng khắt khe hơn từ phía cơ quan quản lý: từ siết chặt chính sách thuế, quản lý chất lượng sản phẩm đến kiểm soát nội dung livestream, quảng bá.",https://www.vietnam.vn/ja/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu,https://vtv.vn/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu-100250925181753744.htm,,
23,創造,けんこうな,"khỏe mạnh, sức khỏe",ベトナムデザイン思考コミュニティ、ホーチミン市創造的起業センター、国立創造的起業センターが「ウェルネスシティエコシステム - ベトナムで健康経済を創造する旅を始める」プログラムを開催しました。,"Cộng đồng Design Thinking Việt Nam, Trung tâm Khởi nghiệp sáng tạo TP.HCM, Trung tâm Khởi nghiệp sáng tạo Quốc gia đã tổ chức chương trình “Wellness City Ecosystem - Khởi động hành trình kiến tạo ngành kinh tế sức khỏe tại Việt Nam”. ",https://www.vietnam.vn/ja/kinh-te-suc-khoe-khoi-dong-hanh-trinh-kien-tao-he-sinh-thai-wellness-city-tai-viet-nam,https://baodautu.vn/kinh-te-suc-khoe-khoi-dong-hanh-trinh-kien-tao-he-sinh-thai-wellness-city-tai-viet-nam-d374584.html,,
24,健全な,けんぜんな,"Lành mạnh, ổn định",民間経済の発展は個々の企業を促進するだけでなく、健全なビジネスエコシステムを生み出します。,"Sự phát triển của kinh tế tư nhân không chỉ thúc đẩy từng doanh nghiệp riêng lẻ, mà còn tạo ra một hệ sinh thái kinh doanh lành mạnh. ",https://www.vietnam.vn/ja/khanh-hoa-day-manh-phat-trien-kinh-te-tu-nhan-xu-ly-nghiem-hanh-vi-tham-nhung-cua-can-bo-cong-chuc,https://tuoitre.vn/khanh-hoa-day-manh-phat-trien-kinh-te-tu-nhan-xu-ly-nghiem-hanh-vi-tham-nhung-cua-can-bo-cong-chuc-20250816111212684.htm,,
25,顕著な,けんちょな,"nổi bật, rõ rệt, rõ nét",伝統的なチャネルから現代的なチャネルへの移行の傾向はますます顕著になっています。,Xu hướng chuyển dịch từ kênh truyền thống sang kênh hiện đại ngày càng trở nên rõ nét. ,https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,,
26,現代的な,げんだいてきな,hiện đại,伝統的なチャネルから現代的なチャネルへの移行の傾向はますます顕著になっています。,Xu hướng chuyển dịch từ kênh truyền thống sang kênh hiện đại ngày càng rõ nét. ,https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,,
27,堅調な,けんちょうな,"mạnh mẽ, vững chắc, ổn định",主要な牽引役として、2025年第2四半期の民間消費と投資は当初の予想よりも堅調に推移しました。GDPの約70%を占める個人消費は前年比1.6%増加しました。,"Trong các động lực chính, tiêu dùng và đầu tư tư nhân quý II/2025 mạnh hơn ước tính ban đầu. Chi tiêu tiêu dùng, chiếm khoảng 70% GDP, tăng 1,6% so với cùng kỳ.",https://www.vietnam.vn/ja/kinh-te-my-don-tin-vui,https://dantri.com.vn/kinh-doanh/kinh-te-my-don-tin-vui-20250828233919236.htm,,
28,高価な,こうかな,"đắt giá, giá cao",米の輸出価格が最低水準まで下落した時期を経て、ベトナム米は再び「世界で最も高価」な地位を取り戻した。,"Sau quãng thời gian giá gạo xuất khẩu lao dốc, chạm đáy, gạo Việt Nam đã lấy lại được vị thế ‘đắt giá nhất thế giới’.",https://www.vietnam.vn/ja/gao-viet-xuat-khau-lay-lai-vi-the-dat-gia-nhat-the-gioi,https://baothaibinh.com.vn/tin-tuc/4/222145/gao-viet-xuat-khau-lay-lai-vi-the-dat-gia-nhat-the-gioi,,
29,高級な,こうきゅうな,cao cấp,これが、ソン・キム・ランドのような高級住宅分野の大手企業と、ビーコンズ・ランドのような低価格住宅を専門とする企業の両方が参加を決めた理由です。 ,"Điều này lý giải vì sao cả những ông lớn trong phân khúc cao cấp như Sơn Kim Land, lẫn các doanh nghiệp chuyên làm nhà ở giá thấp như Bcons Land quyết định tham gia.",https://www.vietnam.vn/ja/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3-790-can-ho-bo-hoang-o-thu-thiem,https://nld.com.vn/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3790-can-ho-bo-hoang-o-thu-thiem-196250919130352158.htm,,
30,好調な,こうちょうな,điều kiện tốt,特に、WinCommerce（WCM）は年初8ヶ月で好調な業績を記録し、第3四半期の売上高目標を10兆VND（約1兆円）を超えると見込んでいます。,"Trong đó, WinCommerce (WCM) ghi nhận kết quả tích cực trong 8 tháng đầu năm, đặt mục tiêu doanh thu quý III có thể vượt mốc 10.000 tỷ đồng.",https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,,
31,小幅な,こはばな,"nhỏ, ít, nhẹ",アナリストは、中国の経済状況と世界の原油価格の影響を受け、ゴム価格は短期的には小幅な変動を続ける可能性があると予測しています。タイの天候が悪化し、供給が減少すれば、価格は反発する可能性があります。,"Giới phân tích dự đoán giá cao su có thể tiếp tục dao động nhẹ trong ngắn hạn, chịu tác động từ tình hình kinh tế Trung Quốc và giá dầu toàn cầu. Nếu thời tiết tại Thái Lan xấu đi khiến nguồn cung giảm, giá có thể bật tăng trở lại.",https://www.vietnam.vn/ja/gia-nong-san-hom-nay-21-10-2025-gia-lua-gao-trong-nuoc-tang-nhe,https://baonghean.vn/gia-nong-san-hom-nay-21-10-2025-gia-lua-gao-trong-nuoc-tang-nhe-10308600.html,,
32,困難な,こんなんな,khó khăn,したがって、第一審判決および控訴審判決はともに、ThuDuc Houseの正当な権利と利益は無関係であり、同社は税金還付額および関連する延滞利息について責任を負わないことを確認した。ThuDuc Houseの代表は、この判決は企業の正当な権利を保護するだけでなく、明確な法的根拠を確立し、これまで多くの困難を引き起こしてきた行政上の障壁を取り除くことに貢献すると述べた。,"Như vậy, cả bản án sơ thẩm lẫn phúc thẩm đều khẳng định quyền và lợi ích hợp pháp của ThuDuc House là không liên quan và không phải chịu trách nhiệm đối với số tiền hoàn thuế và khoản lãi chậm nộp có liên quan. Đại diện ThuDuc House cho rằng phán quyết này không chỉ bảo vệ quyền lợi chính đáng của doanh nghiệp, mà còn thiết lập cơ sở pháp lý rõ ràng, góp phần tháo gỡ những rào cản hành chính vốn đã gây nhiều khó khăn trong quá khứ. ",https://www.vietnam.vn/ja/thuduc-house-thang-kien-thue-gtgt-365-ti-co-phieu-tang-manh,https://nld.com.vn/mot-doanh-nghiep-bat-dong-san-thang-kien-co-quan-thue-196250924130717958.htm,,
33,根本的な,こんぽんてきな,"Cơ bản, căn bản",今日の消費者は、迅速な取引だけでなく、エンターテイメント、つながり、そして個々のニーズに合わせたサービスも期待しています。これは、オンライン消費者行動における根本的な変化です。 ,"Người tiêu dùng hiện nay không chỉ mong muốn một giao dịch nhanh chóng, mà còn kỳ vọng được giải trí, được kết nối và được phục vụ theo nhu cầu riêng. Đây là sự thay đổi căn bản trong hành vi tiêu dùng trực tuyến.",https://www.vietnam.vn/ja/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu,https://vtv.vn/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu-100250925181753744.htm,,
